"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6131","test_login","","Thu Dec 18 22:46:50 UTC 2025","passed","Thu Dec 18 22:46:57 UTC 2025","Test_RegisterMember","test_T04RegisterMember","",""
"","0","test_login","","Thu Dec 18 22:46:57 UTC 2025","skipped","Thu Dec 18 22:46:57 UTC 2025","Test_AddInstitution","test_T06EditInstitution","",""
"","0","test_login","","Thu Dec 18 22:46:57 UTC 2025","skipped","Thu Dec 18 22:46:57 UTC 2025","Test_AddInstitution","test_T07DeleteInstitution","",""
"","3019","test_login","","Thu Dec 18 22:47:00 UTC 2025","broken","Thu Dec 18 22:47:03 UTC 2025","Test_ExportInstitutionalData","test_T09ExportInstitutionData","",""
"","2116","test_login","","Thu Dec 18 22:47:10 UTC 2025","passed","Thu Dec 18 22:47:12 UTC 2025","Test_Help_Tour","test_T12HelpTour","",""
"","2935","test_login","","Thu Dec 18 22:47:03 UTC 2025","broken","Thu Dec 18 22:47:06 UTC 2025","Test_ExportProgramData","test_T10ExportProgramData","",""
"","3420","test_login","","Thu Dec 18 22:46:47 UTC 2025","passed","Thu Dec 18 22:46:50 UTC 2025","Test_MenuUpdate","test_T03MemberUpdate","",""
"","0","test_login","","Thu Dec 18 22:46:57 UTC 2025","skipped","Thu Dec 18 22:46:57 UTC 2025","Test_AddInstitution","test_T05AddInstitution","",""
"","2297","test_login","","Thu Dec 18 22:46:44 UTC 2025","passed","Thu Dec 18 22:46:46 UTC 2025","Test_InstitutionType","test_T02InstituitionType","",""
"","1717","test_login","","Thu Dec 18 22:46:42 UTC 2025","passed","Thu Dec 18 22:46:43 UTC 2025","Test_Login_NWCCU","test_T01Login","",""
"","2206","test_login","","Thu Dec 18 22:46:57 UTC 2025","broken","Thu Dec 18 22:46:59 UTC 2025","Test_Filter","test_T08Filters","",""
"","2781","test_login","","Thu Dec 18 22:47:07 UTC 2025","broken","Thu Dec 18 22:47:09 UTC 2025","Test_ExportBoth","test_T11ExportBoth","",""
